total_congestion,std_dev,beta,reward
9.0,2.2776084,0.9,-11.049848
13.0,3.269174,0.9,-15.942257
10.0,2.0615528,0.9,-11.855397
17.0,3.8324275,0.9,-20.449184
13.0,2.384848,0.9,-15.146363
25.0,4.918079,0.9,-29.426271
16.0,2.1213202,0.9,-17.909187
27.0,5.8896093,0.9,-32.300648
19.0,1.7853571,0.9,-20.606821
30.0,7.228416,0.9,-36.505573
20.0,2.5495098,0.9,-22.29456
44.0,9.246621,0.9,-52.32196
19.0,3.344772,0.9,-22.010296
43.0,11.098987,0.9,-52.98909
27.0,4.6029882,0.9,-31.142689
48.0,10.511898,0.9,-57.46071
34.0,6.344289,0.9,-39.70986
65.0,13.899191,0.9,-577.5093
37.0,9.575359,0.9,-45.617825
61.0,14.254385,0.9,-573.829
49.0,10.377259,0.9,-58.33953
55.0,13.198011,0.9,-566.87823
64.0,9.082951,0.9,-72.17465
62.0,15.124483,0.9,-575.61206
56.0,13.928389,0.9,-568.5355
62.0,14.585952,0.9,-575.1274
71.0,13.589978,0.9,-583.23096
72.0,16.446884,0.9,-586.8022
77.0,13.663363,0.9,-589.297
74.0,15.913831,0.9,-588.32245
90.0,12.175796,0.9,-600.9582
63.0,12.813567,0.9,-74.53221
91.0,12.910751,0.9,-602.6197
77.0,15.105876,0.9,-590.5953
99.0,13.808965,0.9,-611.4281
76.0,12.389512,0.9,-587.1506
102.0,13.793115,0.9,-614.4138
89.0,8.84237,0.9,-96.95813
9.0,1.7853571,0.9,-10.606821
16.0,2.5495098,0.9,-18.29456
10.0,2.0615528,0.9,-11.855397
23.0,3.4186985,0.9,-26.076828
24.0,1.2247449,0.9,-25.10227
26.0,5.545268,0.9,-30.990742
28.0,4.6368093,0.9,-32.173126
37.0,2.2776084,0.9,-39.049847
44.0,1.8708287,0.9,-45.683746
41.0,2.384848,0.9,-43.146362
45.0,3.269174,0.9,-47.942257
45.0,2.384848,0.9,-47.146362
58.0,4.387482,0.9,-61.948734
46.0,2.5,0.9,-48.25
53.0,6.8693156,0.9,-59.182384
66.0,3.8405728,0.9,-69.45651
57.0,5.3091903,0.9,-61.77827
69.0,3.8971143,0.9,-72.5074
60.0,5.0990195,0.9,-64.58912
72.0,6.204837,0.9,-77.58435
72.0,7.0356236,0.9,-78.33206
70.0,5.1234756,0.9,-74.61113
66.0,3.5707142,0.9,-69.213646
76.0,6.519202,0.9,-81.86728
76.0,1.4142135,0.9,-77.27279
89.0,5.4486237,0.9,-93.90376
78.0,2.0615528,0.9,-79.8554
78.0,5.0249376,0.9,-82.522446
89.0,16.299923,0.9,-603.6699
94.0,1.5,0.9,-95.35
115.0,8.84237,0.9,-122.95813
91.0,2.9474566,0.9,-93.65271
82.0,3.640055,0.9,-85.27605
109.0,4.6029882,0.9,-113.14269
109.0,1.47902,0.9,-110.331116
96.0,2.738613,0.9,-98.46475
94.0,2.6925824,0.9,-96.423325
101.0,10.133484,0.9,-110.12013
108.0,3.082207,0.9,-110.77399
119.0,10.42533,0.9,-128.3828
121.0,3.344772,0.9,-124.01029
120.0,4.0620193,0.9,-123.655815
15.0,3.269174,0.9,-17.942257
13.0,2.384848,0.9,-15.146363
26.0,6.5,0.9,-31.85
22.0,2.291288,0.9,-24.062159
34.0,7.632169,0.9,-40.86895
39.0,9.807523,0.9,-47.82677
42.0,1.5,0.9,-43.35
47.0,9.01041,0.9,-55.109367
51.0,0.8291562,0.9,-51.74624
41.0,7.361216,0.9,-47.625095
54.0,4.031129,0.9,-57.628017
61.0,3.5619516,0.9,-64.20576
66.0,5.315073,0.9,-70.78357
49.0,2.384848,0.9,-51.146362
66.0,6.576473,0.9,-71.91882
72.0,3.3166249,0.9,-74.98496
57.0,12.871965,0.9,-68.58477
63.0,2.58602,0.9,-65.327415
82.0,6.538348,0.9,-87.884514
66.0,2.598076,0.9,-68.33827
84.0,9.617692,0.9,-92.65592
81.0,3.7666297,0.9,-84.38997
79.0,4.205651,0.9,-82.78509
87.0,5.3560715,0.9,-91.820465
85.0,4.710361,0.9,-89.23933
93.0,3.112475,0.9,-95.80122
86.0,8.01561,0.9,-93.21405
83.0,0.4330127,0.9,-83.38971
99.0,4.43706,0.9,-102.993355
108.0,14.017846,0.9,-120.61606
90.0,5.6789083,0.9,-95.111015
88.0,4.84768,0.9,-92.362915
